Open_day1,Open_day2,Open_day3,High_day1,High_day2,High_day3,Low_day1,Low_day2,Low_day3,Volume_day1,Volume_day2,Volume_day3,Target
94.2,95.2,93.97,95.9,95.74,94.08,93.82,93.68,92.4,40984160.0,56770080.0,47844490.0,94.0
163.05,169.79,161.95,173.09,167.54,164.75,169.0,162.88,161.65,50908540.0,40382890.0,32483310.0,172.36
121.5,117.42,122.6,117.7,122.57,122.64,113.25,117.52,120.91,123601900.0,69639900.0,42832890.0,112.95
105.58,106.27,104.81,107.65,106.0,105.84,106.18,105.28,104.77,39546610.0,26781730.0,30148360.0,107.52
286.25,289.17,289.96,293.69,299.0,294.53,286.32,285.85,288.35,33391990.0,60154180.0,45765970.0,295.06
182.59,180.32,180.29,180.52,183.5,182.39,177.81,179.24,180.21,29334630.0,31464170.0,32191070.0,178.5
96.05,97.2,93.98,98.02,96.76,96.38,96.58,95.25,93.32,28949760.0,27526040.0,36192150.0,96.86
118.7,120.99,116.93,121.22,120.69,119.3,119.45,118.27,116.06,49305220.0,51106100.0,85436210.0,119.87
190.68,192.45,191.78,193.66,191.96,192.43,192.05,189.56,190.17,18680930.0,15955820.0,20670830.0,193.06
223.52,225.75,224.94,226.84,228.35,225.0,222.52,222.57,219.84,31801970.0,41411350.0,49118510.0,222.15
162.13,166.41,164.0,169.2,167.26,164.33,165.27,161.84,160.63,52228910.0,41976500.0,35617230.0,175.23
220.42,221.16,214.52,221.83,222.88,219.5,217.27,216.84,212.32,30280450.0,39494770.0,52902320.0,218.93
144.88,143.69,144.45,144.79,145.3,144.96,142.72,143.1,143.78,21550270.0,14277850.0,22986960.0,143.02
198.68,200.85,200.32,201.0,200.74,202.85,198.44,198.18,199.23,20543190.0,21654750.0,35738280.0,199.2
95.39,94.6,95.49,95.66,95.4,96.47,94.37,94.46,95.33,30877540.0,27553750.0,25982080.0,95.7
190.71,188.5,189.5,189.78,191.28,190.68,187.61,190.18,189.3,18776390.0,15801370.0,19636390.0,189.53
139.39,140.91,141.5,144.04,141.22,141.74,140.62,138.62,140.35,33348400.0,23531670.0,22355140.0,143.68
